month_start,calendar_year,calendar_month,eligible_contributing_station_count,represented_station_universe_count,station_contribution_ratio,included_country_count,represented_country_universe_count,eu27_target_country_count,represented_country_coverage_ratio,eu27_target_country_coverage_ratio,equal_weight_included_country_mean_anomaly_c
2021-01-01,2021,1,639,640,0.9984375,15,15,27,1.0,0.5555555555555556,-0.12108301101388899
2021-02-01,2021,2,637,640,0.9953125,15,15,27,1.0,0.5555555555555556,0.8287234495462642
2021-03-01,2021,3,639,640,0.9984375,15,15,27,1.0,0.5555555555555556,-0.057735355649802686
2021-04-01,2021,4,640,640,1.0,15,15,27,1.0,0.5555555555555556,-1.6485023570569257
2021-05-01,2021,5,640,640,1.0,15,15,27,1.0,0.5555555555555556,-1.2985852495539167
2021-06-01,2021,6,640,640,1.0,15,15,27,1.0,0.5555555555555556,1.725490973623284
2021-07-01,2021,7,637,640,0.9953125,15,15,27,1.0,0.5555555555555556,1.015504233363711
2021-08-01,2021,8,638,640,0.996875,15,15,27,1.0,0.5555555555555556,-0.5377606859468967
2021-09-01,2021,9,639,640,0.9984375,15,15,27,1.0,0.5555555555555556,0.5982081341066697
2021-10-01,2021,10,639,640,0.9984375,15,15,27,1.0,0.5555555555555556,0.04445989403399371
2021-11-01,2021,11,640,640,1.0,15,15,27,1.0,0.5555555555555556,0.18907071401677053
2021-12-01,2021,12,637,640,0.9953125,14,15,27,0.9333333333333333,0.5185185185185185,0.1366173035034441
2022-01-01,2022,1,636,640,0.99375,14,15,27,0.9333333333333333,0.5185185185185185,0.9525904472952352
2022-02-01,2022,2,636,640,0.99375,14,15,27,0.9333333333333333,0.5185185185185185,2.1335571595911866
2022-03-01,2022,3,638,640,0.996875,15,15,27,1.0,0.5555555555555556,0.1671709175462085
2022-04-01,2022,4,639,640,0.9984375,15,15,27,1.0,0.5555555555555556,-0.7710144366108859
2022-05-01,2022,5,638,640,0.996875,15,15,27,1.0,0.5555555555555556,1.1173073728282874
2022-06-01,2022,6,638,640,0.996875,15,15,27,1.0,0.5555555555555556,1.8305541902625586
